[debug] [2026-08-06T16:19:41.628Z] [Firebase Plugin] Activating Firebase extension.
[debug] [2026-08-06T16:21:37.094Z] [Firebase Plugin] requireAuthWrapper
[debug] [2026-08-06T16:21:37.098Z] > command requires scopes: ["email","openid","https://www.googleapis.com/auth/cloudplatformprojects.readonly","https://www.googleapis.com/auth/firebase","https://www.googleapis.com/auth/cloud-platform"]
[debug] [2026-08-06T16:21:37.100Z] > authorizing via signed-in user (amina.aks88@gmail.com)
[debug] [2026-08-06T16:21:37.110Z] Checked if tokens are valid: false, expires at: 1784902310911
[debug] [2026-08-06T16:21:37.111Z] Checked if tokens are valid: false, expires at: 1784902310911
[debug] [2026-08-06T16:21:37.112Z] > refreshing access token with scopes: []
[debug] [2026-08-06T16:21:37.117Z] >>> [apiv2][query] POST https://www.googleapis.com/oauth2/v3/token [none]
[debug] [2026-08-06T16:21:37.118Z] >>> [apiv2][body] POST https://www.googleapis.com/oauth2/v3/token [omitted]
[debug] [2026-08-06T16:21:37.211Z] [Firebase Plugin] VSCode notification server listening on port 40001
[debug] [2026-08-06T16:21:40.436Z] <<< [apiv2][status] POST https://www.googleapis.com/oauth2/v3/token 200
[debug] [2026-08-06T16:21:40.437Z] <<< [apiv2][body] POST https://www.googleapis.com/oauth2/v3/token [omitted]
[debug] [2026-08-06T16:21:40.483Z] [Firebase Plugin] User found:  amina.aks88@gmail.com
[info] [Firebase Plugin] (Core:Project) New user detected, fetching projects
[debug] [2026-08-06T16:21:40.487Z] Checked if tokens are valid: true, expires at: 1786036899437
[debug] [2026-08-06T16:21:40.489Z] >>> [apiv2][query] GET https://firebase.googleapis.com/v1beta1/projects pageSize=1000
[info] [Firebase Plugin] Starting SQL Connect toolkit (version 3.4.16) on port 50001
[info] i  dataconnect: downloading dataconnect-emulator-3.4.16.exe... {"metadata":{"emulator":{"name":"dataconnect"},"message":"downloading dataconnect-emulator-3.4.16.exe..."}}
[debug] [2026-08-06T16:21:43.851Z] >>> [apiv2][query] GET https://storage.googleapis.com/firemat-preview-drop/emulator/dataconnect-emulator-windows-amd64-v3.4.16 
[debug] [2026-08-06T16:22:03.676Z] <<< [apiv2][status] GET https://storage.googleapis.com/firemat-preview-drop/emulator/dataconnect-emulator-windows-amd64-v3.4.16 200
[debug] [2026-08-06T16:22:03.677Z] <<< [apiv2][body] GET https://storage.googleapis.com/firemat-preview-drop/emulator/dataconnect-emulator-windows-amd64-v3.4.16 [stream]
[debug] [2026-08-06T16:22:03.914Z] <<< [apiv2][status] GET https://firebase.googleapis.com/v1beta1/projects 200
[debug] [2026-08-06T16:22:03.914Z] <<< [apiv2][body] GET https://firebase.googleapis.com/v1beta1/projects [omitted]
